Date,State,Num_of_Arrivals
1999-04-01,SA,7190
1999-04-01,TAS,1420
1999-04-01,Total,334130
1999-04-01,VIC,47940
1999-04-01,WA,32380
1999-05-01,ACT,1850
1999-05-01,NSW,118190
1999-05-01,NT,4260
1999-05-01,QLD,96570
1999-05-01,SA,6670
1999-05-01,TAS,1270
1999-05-01,Total,298130
1999-05-01,VIC,40910
1999-05-01,WA,27520
1999-06-01,ACT,2400
1999-06-01,NSW,118770
1999-06-01,NT,4440
1999-06-01,QLD,110800
1999-06-01,SA,6750
1999-06-01,TAS,850
1999-06-01,Total,317060
1999-06-01,VIC,43700
1999-06-01,WA,28140
1999-07-01,ACT,3530
1999-07-01,NSW,154400
1999-07-01,NT,7990
1999-07-01,QLD,125830
1999-07-01,SA,8550
1999-07-01,TAS,1060
1999-07-01,Total,388460
1999-07-01,VIC,53990
1999-07-01,WA,33110
1999-08-01,ACT,1850
1999-08-01,NSW,146360
1999-08-01,NT,5150
1999-08-01,QLD,118290
1999-08-01,SA,7090
1999-08-01,TAS,1020
1999-08-01,Total,355610
1999-08-01,VIC,42860
1999-08-01,WA,33000
1999-09-01,ACT,2950
1999-09-01,NSW,141040
1999-09-01,NT,6380
1999-09-01,QLD,112130
1999-09-01,SA,7780
1999-09-01,TAS,1300
1999-09-01,Total,353130
1999-09-01,VIC,45410
1999-09-01,WA,36070
1999-10-01,ACT,2700
1999-10-01,NSW,153580
1999-10-01,NT,7370
1999-10-01,QLD,114680
1999-10-01,SA,11860
1999-10-01,TAS,1260
1999-10-01,Total,396980
1999-10-01,VIC,64960
1999-10-01,WA,40540
1999-11-01,ACT,3040
1999-11-01,NSW,177560
1999-11-01,NT,4580
1999-11-01,QLD,112260
1999-11-01,SA,10380
1999-11-01,TAS,2180
1999-11-01,Total,416670
1999-11-01,VIC,60860
1999-11-01,WA,45770
1999-12-01,ACT,3450
1999-12-01,NSW,199780
1999-12-01,NT,4930
1999-12-01,QLD,117590
1999-12-01,SA,15770
1999-12-01,TAS,3330
1999-12-01,Total,460780
1999-12-01,VIC,71350
1999-12-01,WA,44350
2000-01-01,ACT,3240
2000-01-01,NSW,155900
2000-01-01,NT,3270
2000-01-01,QLD,88620
2000-01-01,SA,9740
2000-01-01,TAS,2880
2000-01-01,Total,360800
2000-01-01,VIC,60170
2000-01-01,WA,36980
2000-02-01,ACT,3280
2000-02-01,NSW,190020
2000-02-01,NT,4660
2000-02-01,QLD,107660
2000-02-01,SA,11400
2000-02-01,TAS,5620
2000-02-01,Total,434590
2000-02-01,VIC,70240
2000-02-01,WA,41690
2000-03-01,ACT,3160
2000-03-01,NSW,174210
2000-03-01,NT,5990
2000-03-01,QLD,104280
2000-03-01,SA,12370
2000-03-01,TAS,2400
2000-03-01,Total,411860
2000-03-01,VIC,70440
2000-03-01,WA,38910
2000-04-01,ACT,3530
2000-04-01,NSW,177090
2000-04-01,NT,4740
2000-04-01,QLD,113620
2000-04-01,SA,11710
2000-04-01,TAS,2110
2000-04-01,Total,405620
2000-04-01,VIC,57450
2000-04-01,WA,35310
2000-05-01,ACT,2400
2000-05-01,NSW,137840
2000-05-01,NT,4840
2000-05-01,QLD,95140
2000-05-01,SA,6550
2000-05-01,TAS,1020
2000-05-01,Total,319350
2000-05-01,VIC,44090
2000-05-01,WA,27370
2000-06-01,ACT,3710
2000-06-01,NSW,137230
2000-06-01,NT,6490
2000-06-01,QLD,115840
2000-06-01,SA,9140
2000-06-01,TAS,950
2000-06-01,Total,347940
2000-06-01,VIC,44130
2000-06-01,WA,30360
2000-07-01,ACT,5000
2000-07-01,NSW,177050
2000-07-01,NT,8530
2000-07-01,QLD,129700
2000-07-01,SA,10230
2000-07-01,TAS,1240
2000-07-01,Total,429030
2000-07-01,VIC,60560
2000-07-01,WA,36640
2000-08-01,ACT,2590
2000-08-01,NSW,154200
2000-08-01,NT,5240
2000-08-01,QLD,117080
2000-08-01,SA,7250
2000-08-01,TAS,1480
2000-08-01,Total,372850
2000-08-01,VIC,54180
2000-08-01,WA,30580
2000-09-01,ACT,5430
2000-09-01,NSW,222370
2000-09-01,NT,3660
2000-09-01,QLD,90230
2000-09-01,SA,5880
2000-09-01,TAS,1150
2000-09-01,Total,402970
2000-09-01,VIC,47200
2000-09-01,WA,26930
2000-10-01,ACT,3440
2000-10-01,NSW,184950
2000-10-01,NT,5780
2000-10-01,QLD,115220
2000-10-01,SA,8620
2000-10-01,TAS,2900
2000-10-01,Total,426510
2000-10-01,VIC,69020
2000-10-01,WA,36480
2000-11-01,ACT,3030
2000-11-01,NSW,194410
2000-11-01,NT,4910
2000-11-01,QLD,120840
2000-11-01,SA,8660
2000-11-01,TAS,3020
2000-11-01,Total,459910
2000-11-01,VIC,78130
2000-11-01,WA,46240
2000-12-01,ACT,4660
2000-12-01,NSW,237720
2000-12-01,NT,4280
2000-12-01,QLD,135500
2000-12-01,SA,16660
2000-12-01,TAS,5900
2000-12-01,Total,559930
2000-12-01,VIC,89380
2000-12-01,WA,65620
2001-01-01,ACT,3540
2001-01-01,NSW,176100
2001-01-01,NT,4480
2001-01-01,QLD,107960
2001-01-01,SA,10460
2001-01-01,TAS,3110
2001-01-01,Total,416600
2001-01-01,VIC,67650
2001-01-01,WA,43130
2001-02-01,ACT,4350
2001-02-01,NSW,184340
2001-02-01,NT,4870
2001-02-01,QLD,98480
2001-02-01,SA,10270
2001-02-01,TAS,3990
2001-02-01,Total,429200
2001-02-01,VIC,79620
2001-02-01,WA,43180
2001-03-01,ACT,3740
2001-03-01,NSW,174370
2001-03-01,NT,5740
2001-03-01,QLD,113590
2001-03-01,SA,10480
2001-03-01,TAS,3500
2001-03-01,Total,428750
2001-03-01,VIC,73280
2001-03-01,WA,43670
2001-04-01,ACT,4430
2001-04-01,NSW,164850
2001-04-01,NT,5960
2001-04-01,QLD,115840
2001-04-01,SA,9920
2001-04-01,TAS,2590
2001-04-01,Total,405380
2001-04-01,VIC,64350
2001-04-01,WA,37140
2001-05-01,ACT,3020
2001-05-01,NSW,139860
2001-05-01,NT,5690
2001-05-01,QLD,98830
2001-05-01,SA,5620
2001-05-01,TAS,1250
2001-05-01,Total,330180
2001-05-01,VIC,49100
2001-05-01,WA,26230
2001-06-01,ACT,2450
2001-06-01,NSW,142210
2001-06-01,NT,5400
2001-06-01,QLD,133220
2001-06-01,SA,6520
2001-06-01,TAS,1490
2001-06-01,Total,370020
2001-06-01,VIC,48880
2001-06-01,WA,29530
2001-07-01,ACT,5360
2001-07-01,NSW,173030
2001-07-01,NT,8220
2001-07-01,QLD,139450
2001-07-01,SA,11710
2001-07-01,TAS,1780
2001-07-01,Total,446880
2001-07-01,VIC,74260
2001-07-01,WA,33050
2001-08-01,ACT,3890
2001-08-01,NSW,154450
2001-08-01,NT,6660
2001-08-01,QLD,125410
2001-08-01,SA,6930
2001-08-01,TAS,1490
2001-08-01,Total,384590
2001-08-01,VIC,53730
2001-08-01,WA,31960
2001-09-01,ACT,3600
2001-09-01,NSW,142230
2001-09-01,NT,7200
2001-09-01,QLD,114220
2001-09-01,SA,7850
2001-09-01,TAS,1810
2001-09-01,Total,366290
2001-09-01,VIC,53640
2001-09-01,WA,35580
2001-10-01,ACT,2890
2001-10-01,NSW,149080
2001-10-01,NT,7060
2001-10-01,QLD,102350
2001-10-01,SA,9310
2001-10-01,TAS,2480
2001-10-01,Total,378470
2001-10-01,VIC,67080
2001-10-01,WA,38230
2001-11-01,ACT,2920
2001-11-01,NSW,154330
2001-11-01,NT,4910
2001-11-01,QLD,97160
2001-11-01,SA,9240
2001-11-01,TAS,3140
2001-11-01,Total,376190
2001-11-01,VIC,66640
2001-11-01,WA,37840
2001-12-01,ACT,4390
2001-12-01,NSW,224380
2001-12-01,NT,4120
2001-12-01,QLD,124000
2001-12-01,SA,13860
2001-12-01,TAS,5090
2001-12-01,Total,523190
2001-12-01,VIC,91620
2001-12-01,WA,55710
2002-01-01,ACT,3950
2002-01-01,NSW,158330
2002-01-01,NT,4520
2002-01-01,QLD,90590
2002-01-01,SA,9260
2002-01-01,TAS,5090
2002-01-01,Total,379290
2002-01-01,VIC,71520
2002-01-01,WA,36020
2002-02-01,ACT,4890
2002-02-01,NSW,179990
2002-02-01,NT,4720
2002-02-01,QLD,102480
2002-02-01,SA,11830
2002-02-01,TAS,5620
2002-02-01,Total,437240
2002-02-01,VIC,84480
2002-02-01,WA,43230
2002-03-01,ACT,4320
2002-03-01,NSW,182270
2002-03-01,NT,5120
2002-03-01,QLD,112280
2002-03-01,SA,11090
2002-03-01,TAS,3230
2002-03-01,Total,446500
2002-03-01,VIC,82000
2002-03-01,WA,46040
2002-04-01,ACT,4010
2002-04-01,NSW,152000
2002-04-01,NT,4800
2002-04-01,QLD,98320
2002-04-01,SA,7400
2002-04-01,TAS,1540
2002-04-01,Total,360310
2002-04-01,VIC,59230
2002-04-01,WA,32980
2002-05-01,ACT,2970
2002-05-01,NSW,133540
2002-05-01,NT,4790
2002-05-01,QLD,97660
2002-05-01,SA,5850
2002-05-01,TAS,1340
2002-05-01,Total,329950
2002-05-01,VIC,53780
2002-05-01,WA,30000
2002-06-01,ACT,3220
2002-06-01,NSW,126950
2002-06-01,NT,5340
2002-06-01,QLD,117080
2002-06-01,SA,5340
2002-06-01,TAS,1800
2002-06-01,Total,339390
2002-06-01,VIC,49000
2002-06-01,WA,30660
2002-07-01,ACT,4920
2002-07-01,NSW,162930
2002-07-01,NT,6430
2002-07-01,QLD,131800
2002-07-01,SA,10220
2002-07-01,TAS,1300
2002-07-01,Total,418160
2002-07-01,VIC,66780
2002-07-01,WA,33600
2002-08-01,ACT,2810
2002-08-01,NSW,146170
2002-08-01,NT,6710
2002-08-01,QLD,119760
2002-08-01,SA,8140
2002-08-01,TAS,1370
2002-08-01,Total,371940
2002-08-01,VIC,55000
2002-08-01,WA,31970
2002-09-01,ACT,2900
2002-09-01,NSW,137380
2002-09-01,NT,6420
2002-09-01,QLD,110640
2002-09-01,SA,6940
2002-09-01,TAS,1270
2002-09-01,Total,358570
2002-09-01,VIC,58250
2002-09-01,WA,34740
2002-10-01,ACT,4270
2002-10-01,NSW,173850
2002-10-01,NT,5500
2002-10-01,QLD,120690
2002-10-01,SA,8450
2002-10-01,TAS,2200
2002-10-01,Total,428860
2002-10-01,VIC,71010
2002-10-01,WA,42900
2002-11-01,ACT,3500
2002-11-01,NSW,170310
2002-11-01,NT,5620
2002-11-01,QLD,122380
2002-11-01,SA,12220
2002-11-01,TAS,3190
2002-11-01,Total,437020
2002-11-01,VIC,71640
2002-11-01,WA,48100
2002-12-01,ACT,4550
2002-12-01,NSW,217700
2002-12-01,NT,3860
2002-12-01,QLD,130670
2002-12-01,SA,15050
2002-12-01,TAS,5590
2002-12-01,Total,533970
2002-12-01,VIC,96260
2002-12-01,WA,60280
2003-01-01,ACT,4100
2003-01-01,NSW,163840
2003-01-01,NT,3060
2003-01-01,QLD,103470
2003-01-01,SA,9160
2003-01-01,TAS,3590
2003-01-01,Total,396650
2003-01-01,VIC,70800
2003-01-01,WA,38610
2003-02-01,ACT,4820
2003-02-01,NSW,173750
2003-02-01,NT,3700
2003-02-01,QLD,101110
2003-02-01,SA,11400
2003-02-01,TAS,5490
2003-02-01,Total,427480
2003-02-01,VIC,83700
2003-02-01,WA,43520
2003-03-01,ACT,3700
2003-03-01,NSW,158770
2003-03-01,NT,3690
2003-03-01,QLD,97870
2003-03-01,SA,10500
2003-03-01,TAS,3160
2003-03-01,Total,392470
2003-03-01,VIC,74060
2003-03-01,WA,40680
2003-04-01,ACT,3390
2003-04-01,NSW,129290
2003-04-01,NT,2820
2003-04-01,QLD,91830
2003-04-01,SA,7640
2003-04-01,TAS,2440
2003-04-01,Total,321510
2003-04-01,VIC,51400
2003-04-01,WA,32710
2003-05-01,ACT,2260
2003-05-01,NSW,102650
2003-05-01,NT,4620
2003-05-01,QLD,79590
2003-05-01,SA,5220
2003-05-01,TAS,1440
2003-05-01,Total,260900
2003-05-01,VIC,40130
2003-05-01,WA,24990
2003-06-01,ACT,2840
2003-06-01,NSW,116150
2003-06-01,NT,4470
2003-06-01,QLD,99630
2003-06-01,SA,6110
2003-06-01,TAS,1450
2003-06-01,Total,308270
2003-06-01,VIC,49120
2003-06-01,WA,28450
2003-07-01,ACT,4560
2003-07-01,NSW,163600
2003-07-01,NT,5390
2003-07-01,QLD,131360
2003-07-01,SA,10140
2003-07-01,TAS,1310
2003-07-01,Total,415510
2003-07-01,VIC,63160
2003-07-01,WA,35980
2003-08-01,ACT,3040
2003-08-01,NSW,138100
2003-08-01,NT,5060
2003-08-01,QLD,121170
2003-08-01,SA,7880
2003-08-01,TAS,1580
2003-08-01,Total,362250
2003-08-01,VIC,52890
2003-08-01,WA,32510
2003-09-01,ACT,3360
2003-09-01,NSW,147840
2003-09-01,NT,5000
2003-09-01,QLD,119910
2003-09-01,SA,8510
2003-09-01,TAS,2220
2003-09-01,Total,385600
2003-09-01,VIC,57630
2003-09-01,WA,41130
2003-10-01,ACT,4910
2003-10-01,NSW,167670
2003-10-01,NT,4790
2003-10-01,QLD,123400
2003-10-01,SA,9900
2003-10-01,TAS,2360
2003-10-01,Total,435330
2003-10-01,VIC,73630
2003-10-01,WA,48570
2003-11-01,ACT,4270
2003-11-01,NSW,195020
2003-11-01,NT,3780
2003-11-01,QLD,127950
2003-11-01,SA,10310
2003-11-01,TAS,3810
2003-11-01,Total,473280
2003-11-01,VIC,83350
2003-11-01,WA,44670
2003-12-01,ACT,5670
2003-12-01,NSW,229690
2003-12-01,NT,3840
2003-12-01,QLD,142290
2003-12-01,SA,15220
2003-12-01,TAS,5970
2003-12-01,Total,566600
2003-12-01,VIC,104110
2003-12-01,WA,59430
2004-01-01,ACT,4550
2004-01-01,NSW,165800
2004-01-01,NT,3310
2004-01-01,QLD,117420
2004-01-01,SA,10870
2004-01-01,TAS,4390
2004-01-01,Total,420170
2004-01-01,VIC,74140
2004-01-01,WA,39680
2004-02-01,ACT,5690
2004-02-01,NSW,183590
2004-02-01,NT,3380
2004-02-01,QLD,113410
2004-02-01,SA,12730
2004-02-01,TAS,6580
2004-02-01,Total,454820
2004-02-01,VIC,86430
2004-02-01,WA,43010
2004-03-01,ACT,4290
2004-03-01,NSW,168630
2004-03-01,NT,3180
2004-03-01,QLD,114230
2004-03-01,SA,12000
2004-03-01,TAS,3520
2004-03-01,Total,432280
2004-03-01,VIC,83340
2004-03-01,WA,43070
2004-04-01,ACT,4870
2004-04-01,NSW,157720
2004-04-01,NT,3060
2004-04-01,QLD,115940
2004-04-01,SA,10770
2004-04-01,TAS,2240
2004-04-01,Total,402790
2004-04-01,VIC,69800
2004-04-01,WA,38390
2004-05-01,ACT,3430
2004-05-01,NSW,134780
2004-05-01,NT,4750
2004-05-01,QLD,106560
2004-05-01,SA,7090
2004-05-01,TAS,1390
2004-05-01,Total,341260
2004-05-01,VIC,55640
2004-05-01,WA,27610
2004-06-01,ACT,3740
2004-06-01,NSW,133860
2004-06-01,NT,5310
2004-06-01,QLD,127730
2004-06-01,SA,5910
2004-06-01,TAS,1450
2004-06-01,Total,367280
2004-06-01,VIC,59830
2004-06-01,WA,29430
2004-07-01,ACT,5140
2004-07-01,NSW,171830
2004-07-01,NT,6530
2004-07-01,QLD,158110
2004-07-01,SA,11090
2004-07-01,TAS,1900
2004-07-01,Total,467550
2004-07-01,VIC,77410
2004-07-01,WA,35550
2004-08-01,ACT,3260
2004-08-01,NSW,153030
2004-08-01,NT,6810
2004-08-01,QLD,137040
2004-08-01,SA,7960
2004-08-01,TAS,1460
2004-08-01,Total,403060
2004-08-01,VIC,61030
2004-08-01,WA,32460
2004-09-01,ACT,3730
2004-09-01,NSW,143770
2004-09-01,NT,6850
2004-09-01,QLD,132640
2004-09-01,SA,8490
2004-09-01,TAS,1770
2004-09-01,Total,393510
2004-09-01,VIC,60610
2004-09-01,WA,35660
2004-10-01,ACT,3580
2004-10-01,NSW,170030
2004-10-01,NT,5900
2004-10-01,QLD,136120
2004-10-01,SA,10220
2004-10-01,TAS,2170
2004-10-01,Total,447380
2004-10-01,VIC,77520
2004-10-01,WA,41830
2004-11-01,ACT,3370
2004-11-01,NSW,184890
2004-11-01,NT,4090
2004-11-01,QLD,134390
2004-11-01,SA,10440
2004-11-01,TAS,3250
2004-11-01,Total,478020
2004-11-01,VIC,88740
2004-11-01,WA,48850
2004-12-01,ACT,5660
2004-12-01,NSW,235480
2004-12-01,NT,3210
2004-12-01,QLD,153380
2004-12-01,SA,17510
2004-12-01,TAS,5410
2004-12-01,Total,591390
2004-12-01,VIC,108300
2004-12-01,WA,62440
2005-01-01,ACT,3860
2005-01-01,NSW,193910
2005-01-01,NT,3630
2005-01-01,QLD,118720
2005-01-01,SA,10600
2005-01-01,TAS,3170
2005-01-01,Total,456920
2005-01-01,VIC,83440
2005-01-01,WA,39560
2005-02-01,ACT,4950
2005-02-01,NSW,201750
2005-02-01,NT,2880
2005-02-01,QLD,123730
2005-02-01,SA,13190
2005-02-01,TAS,4520
2005-02-01,Total,498780
2005-02-01,VIC,99010
2005-02-01,WA,48760
2005-03-01,ACT,4120
2005-03-01,NSW,201640
2005-03-01,NT,3150
2005-03-01,QLD,130010
2005-03-01,SA,13270
2005-03-01,TAS,3260
2005-03-01,Total,502090
2005-03-01,VIC,94600
2005-03-01,WA,52030
2005-04-01,ACT,4210
2005-04-01,NSW,163380
2005-04-01,NT,3330
2005-04-01,QLD,117000
2005-04-01,SA,9840
2005-04-01,TAS,2240
2005-04-01,Total,406580
2005-04-01,VIC,69920
2005-04-01,WA,36660
2005-05-01,ACT,2720
2005-05-01,NSW,134080
2005-05-01,NT,5840
2005-05-01,QLD,108240
2005-05-01,SA,8210
2005-05-01,TAS,1470
2005-05-01,Total,351290
2005-05-01,VIC,58870
2005-05-01,WA,31850
2005-06-01,ACT,2940
2005-06-01,NSW,141600
2005-06-01,NT,4450
2005-06-01,QLD,128540
2005-06-01,SA,7020
2005-06-01,TAS,1240
2005-06-01,Total,377010
2005-06-01,VIC,58530
2005-06-01,WA,32700
2005-07-01,ACT,3940
2005-07-01,NSW,189340
2005-07-01,NT,6370
2005-07-01,QLD,169640
2005-07-01,SA,11510
2005-07-01,TAS,2210
2005-07-01,Total,497040
2005-07-01,VIC,78380
2005-07-01,WA,35660
2005-08-01,ACT,2990
2005-08-01,NSW,162740
2005-08-01,NT,6510
2005-08-01,QLD,147330
2005-08-01,SA,8320
2005-08-01,TAS,1320
2005-08-01,Total,429260
2005-08-01,VIC,66630
2005-08-01,WA,33420
2005-09-01,ACT,3910
2005-09-01,NSW,155720
2005-09-01,NT,5880
2005-09-01,QLD,134860
2005-09-01,SA,9950
2005-09-01,TAS,1760
2005-09-01,Total,412070
2005-09-01,VIC,61210
2005-09-01,WA,38770
2005-10-01,ACT,3740
2005-10-01,NSW,175440
2005-10-01,NT,5040
2005-10-01,QLD,136840
2005-10-01,SA,10260
2005-10-01,TAS,2430
2005-10-01,Total,461870
2005-10-01,VIC,82660
2005-10-01,WA,45460
2005-11-01,ACT,3630
2005-11-01,NSW,184280
2005-11-01,NT,4200
2005-11-01,QLD,129270
2005-11-01,SA,10440
2005-11-01,TAS,3250
2005-11-01,Total,470670
2005-11-01,VIC,89110
2005-11-01,WA,46470
2005-12-01,ACT,5150
2005-12-01,NSW,237650
2005-12-01,NT,4330
2005-12-01,QLD,151570
2005-12-01,SA,17360
2005-12-01,TAS,5210
2005-12-01,Total,599250
2005-12-01,VIC,113550
2005-12-01,WA,64430
2006-01-01,ACT,3660
2006-01-01,NSW,183220
2006-01-01,NT,3530
2006-01-01,QLD,121930
2006-01-01,SA,10990
2006-01-01,TAS,4470
2006-01-01,Total,461400
2006-01-01,VIC,89970
2006-01-01,WA,43620
2006-02-01,ACT,4890
2006-02-01,NSW,199280
2006-02-01,NT,2800
2006-02-01,QLD,116970
2006-02-01,SA,15080
2006-02-01,TAS,4970
2006-02-01,Total,485000
2006-02-01,VIC,94720
2006-02-01,WA,46290
2006-03-01,ACT,3850
2006-03-01,NSW,186520
2006-03-01,NT,3770
2006-03-01,QLD,121600
2006-03-01,SA,14640
2006-03-01,TAS,4050
2006-03-01,Total,473440
2006-03-01,VIC,94890
2006-03-01,WA,44130
2006-04-01,ACT,3470
2006-04-01,NSW,174950
2006-04-01,NT,4590
2006-04-01,QLD,120540
2006-04-01,SA,11570
2006-04-01,TAS,2670
2006-04-01,Total,435040
2006-04-01,VIC,76970
2006-04-01,WA,40270
2006-05-01,ACT,2660
2006-05-01,NSW,131030
2006-05-01,NT,5210
2006-05-01,QLD,106050
2006-05-01,SA,8520
2006-05-01,TAS,1350
2006-05-01,Total,342940
2006-05-01,VIC,59980
2006-05-01,WA,28130
2006-06-01,ACT,3550
2006-06-01,NSW,139550
2006-06-01,NT,4510
2006-06-01,QLD,130580
2006-06-01,SA,8360
2006-06-01,TAS,1730
2006-06-01,Total,379660
2006-06-01,VIC,61530
2006-06-01,WA,29850
2006-07-01,ACT,4880
2006-07-01,NSW,180390
2006-07-01,NT,7270
2006-07-01,QLD,159900
2006-07-01,SA,12250
2006-07-01,TAS,2090
2006-07-01,Total,478190
2006-07-01,VIC,75910
2006-07-01,WA,35510
2006-08-01,ACT,2910
2006-08-01,NSW,153620
2006-08-01,NT,7400
2006-08-01,QLD,136790
2006-08-01,SA,10430
2006-08-01,TAS,1960
2006-08-01,Total,410200
2006-08-01,VIC,65270
2006-08-01,WA,31820
2006-09-01,ACT,3590
2006-09-01,NSW,155370
2006-09-01,NT,5530
2006-09-01,QLD,143670
2006-09-01,SA,10010
2006-09-01,TAS,1820
2006-09-01,Total,423460
2006-09-01,VIC,69370
2006-09-01,WA,34090
2006-10-01,ACT,3840
2006-10-01,NSW,184600
2006-10-01,NT,5440
2006-10-01,QLD,134380
2006-10-01,SA,11500
2006-10-01,TAS,3230
2006-10-01,Total,472930
2006-10-01,VIC,81860
2006-10-01,WA,48050
2006-11-01,ACT,5220
2006-11-01,NSW,194160
2006-11-01,NT,4440
2006-11-01,QLD,131770
2006-11-01,SA,12600
2006-11-01,TAS,3340
2006-11-01,Total,489990
2006-11-01,VIC,89920
2006-11-01,WA,48530
2006-12-01,ACT,5300
2006-12-01,NSW,250830
2006-12-01,NT,3300
2006-12-01,QLD,152070
2006-12-01,SA,21490
2006-12-01,TAS,5480
2006-12-01,Total,640870
2006-12-01,VIC,128030
2006-12-01,WA,74350
2007-01-01,ACT,4280
2007-01-01,NSW,184170
2007-01-01,NT,3210
2007-01-01,QLD,112290
2007-01-01,SA,13340
2007-01-01,TAS,4080
2007-01-01,Total,451030
2007-01-01,VIC,86480
2007-01-01,WA,43150
2007-02-01,ACT,4890
2007-02-01,NSW,207050
2007-02-01,NT,3570
2007-02-01,QLD,120330
2007-02-01,SA,16070
2007-02-01,TAS,5300
2007-02-01,Total,510170
2007-02-01,VIC,101570
2007-02-01,WA,51400
2007-03-01,ACT,4180
2007-03-01,NSW,207800
2007-03-01,NT,3790
2007-03-01,QLD,125380
2007-03-01,SA,21450
2007-03-01,TAS,3960
2007-03-01,Total,520020
2007-03-01,VIC,102970
2007-03-01,WA,50500
2007-04-01,ACT,3980
2007-04-01,NSW,174790
2007-04-01,NT,4250
2007-04-01,QLD,116730
2007-04-01,SA,12230
2007-04-01,TAS,2090
2007-04-01,Total,434940
2007-04-01,VIC,77330
2007-04-01,WA,43550
2007-05-01,ACT,2900
2007-05-01,NSW,139620
2007-05-01,NT,6620
2007-05-01,QLD,106120
2007-05-01,SA,8210
2007-05-01,TAS,1560
2007-05-01,Total,364730
2007-05-01,VIC,66720
2007-05-01,WA,32990
2007-06-01,ACT,2780
2007-06-01,NSW,146460
2007-06-01,NT,4700
2007-06-01,QLD,131890
2007-06-01,SA,7920
2007-06-01,TAS,1670
2007-06-01,Total,397960
2007-06-01,VIC,70080
2007-06-01,WA,32460
2007-07-01,ACT,5600
